"Label","MTR"
"Cingulate area 2",0.405486586969346
"Cingulate area 2",0.397937634552363
"Cingulate area 2",0.403227036586031
"Cingulate area 2",0.381761307944544
"Cingulate area 2",0.388077778334264
"Cingulate area 2",0.419352009776048
"Cingulate area 2",0.413549073564354
"Cingulate area 2",0.388077778334264
"Cingulate area 2",0.394188835052773
"Cingulate area 2",0.402302675065584
"Cingulate area 2",0.390696802642196
"Cingulate area 2",0.398759289237205
"Cingulate area 2",0.268218901182991
"Cingulate area 2",0.225030676811002
"Cingulate area 2",0.16736078861868
"Cingulate area 2",0.215478941099718
"Cingulate area 2",0.275202966004144
"Cingulate area 2",0.314026149862912
"Cingulate area 2",0.351976325619034
"Cingulate area 2",0.388180485169869
"Cingulate area 2",0.382839729718398
"Cingulate area 2",0.375650251226034
"Cingulate area 2",0.409697567229159
"Cingulate area 2",0.410673282167409
"Cingulate area 2",0.404048691270873
"Cingulate area 2",0.403021622914821
"Cingulate area 2",0.396448385436088
"Cingulate area 2",0.38997785479296
"Cingulate area 2",0.436041870561894
"Cingulate area 2",0.430136227514595
"Cingulate area 2",0.40399733785307
"Cingulate area 2",0.395780791004654
"Cingulate area 2",0.403432450257242
"Cingulate area 2",0.422689981933217
"Cingulate area 2",0.41031380824279
"Cingulate area 2",0.406308241654187
"Cingulate area 2",0.392956353025511
"Cingulate area 2",0.381658601108938
"Cingulate area 2",0.322756230889354
"Cingulate area 2",0.260464535094798
"Cingulate area 2",0.236482488980982
"Cingulate area 2",0.210446306155063
"Cingulate area 2",0.203513594751712
"Cingulate area 2",0.267705367004965
"Cingulate area 2",0.301033735158853
"Cingulate area 2",0.332102552929427
"Cingulate area 2",0.371850098308641
"Cingulate area 2",0.38504792668391
"Cingulate area 2",0.352181739290245
"Cingulate area 2",0.383712737821043
"Cingulate area 2",0.429314572829753
"Cingulate area 2",0.396037558093667
"Cingulate area 2",0.395164549991023
"Cingulate area 2",0.408156964695081
"Cingulate area 2",0.390029208210763
"Cingulate area 2",0.386126348457765
"Cingulate area 2",0.362760543357581
"Cingulate area 2",0.404510872031096
"Cingulate area 2",0.401943201140966
"Cingulate area 2",0.395883497840259
"Cingulate area 2",0.391826577833854
"Cingulate area 2",0.38643446896458
"Cingulate area 2",0.372774459829088
"Cingulate area 2",0.382788376300596
"Cingulate area 2",0.39490778290201
"Cingulate area 2",0.382326195540372
"Cingulate area 2",0.38386679807445
"Cingulate area 2",0.37616378540406
"Cingulate area 2",0.41663027863251
"Cingulate area 2",0.399991771264467
"Cingulate area 2",0.42253592167981
"Cingulate area 2",0.41663027863251
"Cingulate area 2",0.411854410776868
"Cingulate area 2",0.418376294837799
"Cingulate area 2",0.381196420348715
"Cingulate area 2",0.37262039957568
"Cingulate area 2",0.391518457327038
"Cingulate area 2",0.382788376300596
"Cingulate area 2",0.3019580966793
"Cingulate area 2",0.20741645450471
"Cingulate area 2",0.186515613459051
"Cingulate area 2",0.252453401917592
"Cingulate area 2",0.35741978790611
"Cingulate area 2",0.411905764194671
"Cingulate area 2",0.405692000640556
"Cingulate area 2",0.396859212778509
"Cingulate area 2",0.40754072368145
"Cingulate area 2",0.367536411213223
"Cingulate area 2",0.367330997542012
"Cingulate area 2",0.355262944358401
"Cingulate area 2",0.350281662831549
"Cingulate area 2",0.374263708945364
"Cingulate area 2",0.399683650757652
"Cingulate area 2",0.407232603174634
"Cingulate area 2",0.406821775832213
"Cingulate area 2",0.386074995039962
"Cingulate area 2",0.387050709978212
"Cingulate area 2",0.395934851258062
"Cingulate area 2",0.38643446896458
"Cingulate area 2",0.405075759626925
"Cingulate area 2",0.436247284233104
"Cingulate area 2",0.452372257423121
"Cingulate area 2",0.402456735318992
"Cingulate area 2",0.388180485169869
"Cingulate area 2",0.393675300874747
"Cingulate area 2",0.393829361128155
"Cingulate area 2",0.401737787469756
"Cingulate area 2",0.408054257859476
"Cingulate area 2",0.401532373798545
"Cingulate area 2",0.38643446896458
"Cingulate area 2",0.370617616281379
"Cingulate area 2",0.371747391473036
"Cingulate area 2",0.378474689205177
"Cingulate area 2",0.360449639556464
"Cingulate area 2",0.364249792473856
"Cingulate area 2",0.369128367165104
"Cingulate area 2",0.361836181837134
"Cingulate area 2",0.388488605676685
"Cingulate area 2",0.399118763161823
"Cingulate area 2",0.396345678600483
"Cingulate area 2",0.395883497840259
"Cingulate area 2",0.414678848756012
"Cingulate area 2",0.407027189503424
"Cingulate area 2",0.405794707476161
"Cingulate area 2",0.422638628515415
"Cingulate area 2",0.411546290270053
"Cingulate area 2",0.417349226481747
"Cingulate area 2",0.415295089769643
"Cingulate area 2",0.385407400608528
"Cingulate area 2",0.367587764631025
"Cingulate area 2",0.373852881602943
"Cingulate area 2",0.379193637054414
"Cingulate area 2",0.401840494305361
"Cingulate area 2",0.397834927716758
"Cingulate area 2",0.333386388374493
"Cingulate area 2",0.210086832230445
"Cingulate area 2",0.185026364342775
"Cingulate area 2",0.31340990884928
"Cingulate area 2",0.410159747989383
"Cingulate area 2",0.423306222946849
"Cingulate area 2",0.399529590504244
"Cingulate area 2",0.389310260361526
"Cingulate area 2",0.401532373798545
"Cingulate area 2",0.395729437586851
"Cingulate area 2",0.425206299405545
"Cingulate area 2",0.412111177865881
"Cingulate area 2",0.381196420348715
"Cingulate area 2",0.329278114950284
"Cingulate area 2",0.326967211149167
"Cingulate area 2",0.359217157529201
"Cingulate area 2",0.412316591537092
"Cingulate area 2",0.44682608830044
"Cingulate area 2",0.458021133381408
"Cingulate area 2",0.44030420423951
"Cingulate area 2",0.370823029952589
"Cingulate area 2",0.285833123489283
"Cingulate area 2",0.341551581805106
"Cingulate area 2",0.3295862354571
"Cingulate area 2",0.360398286138661
"Cingulate area 2",0.364814680069685
"Cingulate area 2",0.362606483104173
"Cingulate area 2",0.391877931251656
"Cingulate area 2",0.393983421381563
"Cingulate area 2",0.367639118048828
"Cingulate area 2",0.380323412246071
"Cingulate area 2",0.395678084169049
"Cingulate area 2",0.39372665429255
"Cingulate area 2",0.390234621881973
"Cingulate area 2",0.393675300874747
"Cingulate area 2",0.413086892804131
"Cingulate area 2",0.403278390003834
"Cingulate area 2",0.402764855825808
"Cingulate area 2",0.410878695838619
"Cingulate area 2",0.404716285702307
"Cingulate area 2",0.405127113044728
"Cingulate area 2",0.367741824884433
"Cingulate area 2",0.362298362597357
"Cingulate area 2",0.395986204675864
"Cingulate area 2",0.400762072531506
"Cingulate area 2",0.375393484137021
"Cingulate area 2",0.41385719407117
"Cingulate area 2",0.410211101407185
"Cingulate area 2",0.35623865929665
"Cingulate area 2",0.393007706443314
"Cingulate area 2",0.381812661362346
"Cingulate area 2",0.378166568698362
"Cingulate area 2",0.384585745923687
"Cingulate area 2",0.411597643687855
"Cingulate area 2",0.415295089769643
"Cingulate area 2",0.411340876598842
"Cingulate area 2",0.403227036586031
"Cingulate area 2",0.384020858327858
"Cingulate area 2",0.384328978834674
"Cingulate area 2",0.380169351992663
"Cingulate area 2",0.396242971764877
"Cingulate area 2",0.390850862895604
"Cingulate area 2",0.360398286138661
"Cingulate area 2",0.337648722052108
"Cingulate area 2",0.353003393975087
"Cingulate area 2",0.375034010212403
"Cingulate area 2",0.395010489737615
"Cingulate area 2",0.411597643687855
"Cingulate area 2",0.399632297339849
"Cingulate area 2",0.387256123649422
"Cingulate area 2",0.398502522148192
"Cingulate area 2",0.441536686266772
"Cingulate area 2",0.393983421381563
"Cingulate area 2",0.400351245189086
"Cingulate area 2",0.405332526715938
"Cingulate area 2",0.410775989003014
"Cingulate area 2",0.413600426982157
"Cingulate area 2",0.401943201140966
"Cingulate area 2",0.407438016845845
"Cingulate area 2",0.407438016845845
"Cingulate area 2",0.369333780836314
