subject,session,contrast,init_scale
sub-EDAA55,ses-PND063,PDw,0.8
sub-EDAA55,ses-PND063,T1w,0.8
sub-EDAA55,ses-PND300,MTw,0.85
sub-EDAA55,ses-PND300,PDw,0.85
sub-EDAA55,ses-PND300,T1w,0.85
sub-EDAA58,ses-PND300,MTw,0.85
sub-EDAA58,ses-PND300,PDw,0.85
sub-EDAA58,ses-PND300,T1w,0.85
sub-EDAA56,ses-PND063,MTw,0.8
sub-EDAA56,ses-PND063,PDw,0.8
sub-EDAA56,ses-PND063,T1w,0.8
sub-EDAA56,ses-PND300,MTw,0.85
sub-EDAA56,ses-PND300,PDw,0.85
sub-EDAA56,ses-PND300,T1w,0.85
sub-EDAA40,ses-PND300,MTw,0.85
sub-EDAA40,ses-PND300,PDw,0.85
sub-EDAA40,ses-PND300,T1w,0.85
sub-EDAA42,ses-PND300,MTw,0.85
sub-EDAA42,ses-PND300,PDw,0.85
sub-EDAA42,ses-PND300,T1w,0.85
sub-EDAA39,ses-PND300,MTw,0.85
sub-EDAA39,ses-PND300,PDw,0.85
sub-EDAA39,ses-PND300,T1w,0.85
