"Label","MTR"
"Cingulate area 2",0.154184532584623
"Cingulate area 2",0.241555767715909
"Cingulate area 2",0.347343488683691
"Cingulate area 2",0.33963426205446
"Cingulate area 2",0.344666673881875
"Cingulate area 2",0.352482973103179
"Cingulate area 2",0.358050747890957
"Cingulate area 2",0.366081192296406
"Cingulate area 2",0.383426952212176
"Cingulate area 2",0.392956412906642
"Cingulate area 2",0.206221812331933
"Cingulate area 2",0.391992759577988
"Cingulate area 2",0.219177595972724
"Cingulate area 2",0.121741537186608
"Cingulate area 2",0.0521443523393827
"Cingulate area 2",0.183308277628385
"Cingulate area 2",0.0171316147316247
"Cingulate area 2",0.297768878554052
"Cingulate area 2",-0.153756242216332
"Cingulate area 2",-0.0070667910767952
"Cingulate area 2",0.276782650507812
"Cingulate area 2",0.244553800293943
"Cingulate area 2",0.253226680251828
"Cingulate area 2",0.297019370409544
"Cingulate area 2",-0.00856580736581236
"Cingulate area 2",0.200761110136227
"Cingulate area 2",0.365759974520188
"Cingulate area 2",0.358157820483029
"Cingulate area 2",0.338777681317879
"Cingulate area 2",0.326999696189887
"Cingulate area 2",0.338456463541661
"Cingulate area 2",0.324965316940506
"Cingulate area 2",0.354303207168414
"Cingulate area 2",0.368115571545786
"Cingulate area 2",0.367687281177496
"Cingulate area 2",0.359014401219611
"Cingulate area 2",0.362976087126299
"Cingulate area 2",0.369614587834803
"Cingulate area 2",0.365759974520188
"Cingulate area 2",0.39006545292068
"Cingulate area 2",0.339420116870315
"Cingulate area 2",0.33963426205446
"Cingulate area 2",0.325072389532579
"Cingulate area 2",0.30976100886619
"Cingulate area 2",0.268216843142
"Cingulate area 2",0.349592013117217
"Cingulate area 2",0.3343877050429
"Cingulate area 2",0.322930937691126
"Cingulate area 2",0.404520252850489
"Cingulate area 2",0.389958380328608
"Cingulate area 2",0.363297304902517
"Cingulate area 2",0.390386670696898
"Cingulate area 2",0.361262925653136
"Cingulate area 2",0.344559601289802
"Cingulate area 2",0.529152750023059
"Cingulate area 2",0.447135144495405
"Cingulate area 2",0.437284466024721
"Cingulate area 2",0.466408211068483
"Cingulate area 2",0.426255989041238
"Cingulate area 2",0.447991725231986
"Cingulate area 2",0.461268726648996
"Cingulate area 2",0.444779547469807
"Cingulate area 2",0.432466199381452
"Cingulate area 2",0.604531854842207
"Cingulate area 2",0.427112569777819
"Cingulate area 2",0.26018639873655
