Cingulate area 2,Glomerular layer of the olfactory bulb,"Olfactory bulb, unspecified",Frontal association cortex,Cornu ammonis 3,Dentate gyrus,Cornu ammonis 2,Cornu ammonis 1,Fasciola cinereum,Subiculum,Postrhinal cortex,Presubiculum,Parasubiculum,Perirhinal area 35,Perirhinal area 36,Medial entorhinal cortex,Lateral entorhinal cortex,Primary auditory area,"Secondary auditory area, dorsal part","Secondary auditory area, ventral part","Piriform cortex, layer 1","Piriform cortex, layer 2","Piriform cortex, layer 3",Ventrolateral orbital area,Lateral orbital area,Ventral orbital area,Medial orbital area,Dorsolateral orbital area,Prelimbic area,Secondary motor area,Frontal association area 3,Primary motor area,"Agranular insular cortex, ventral area",Agranular insular cortex dorsal area,Cingulate area 1,Infralimbic area,Dysgranular insular cortex,Granular insular cortex,"Primary somatosensory area, forelimb representation","Primary somatosensory area, dysgranular zone","Primary somatosensory area, face representation",Secondary somatosensory area,"Primary somatosensory area, hindlimb representation","Agranular insular cortex, posterior area","Primary somatosensory area, barrel field",Retrosplenial dysgranular area,"Primary somatosensory area, trunk representation",Retrosplenial granular area,"Parietal association cortex, lateral area","Parietal association cortex, medial area","Parietal association cortex, posterior area",Primary visual area,"Secondary visual area, lateral part",Temporal association cortex,"Secondary visual area, medial part",Nucleus of the lateral olfactory tract
0.0,0.7203845134163401,0.8414155805906695,0.25821709696515843,0.751731268710552,0.4396046082558227,0.9192356753220243,0.5855393909083838,0.8322221374536313,0.3435234836098476,0.9188184364352148,0.3180307419616961,0.47765829807242316,0.6030989820202993,0.6453900833026747,0.5043081012387823,0.4402216423528617,0.9497970622048275,0.9427004155893599,0.881045350511985,0.9220407259163562,0.9809094484182864,0.9303683299582867,0.8174791047365247,0.8065568086359785,0.8220014049628054,0.8053573941124795,0.9338994576131525,0.9539655522605945,0.942419887749853,0.8073073747783927,0.8729337985909634,0.9771625414113144,0.830346737188818,0.920585181400395,0.8791389419666982,0.8818016613607292,0.9104622784784152,0.8706689857326495,0.8342586820880052,0.8714494216238445,0.8608259104796582,0.8894794833481483,0.8556497286607723,0.864689204576274,0.7048772703649632,0.9143603051349957,0.5432293670861627,0.9198258874095177,0.8681632141255086,0.8060319177032177,0.5169665418346303,0.5486466623514107,0.48871566251315773,0.6453936410660398,0.6860082539812481
0.7203845134163401,0.0,0.5502008564328578,0.16896078900990644,0.6388772767770661,0.4589597430135437,0.7037195695595821,0.5566264269427389,0.7369830105184295,0.3800012847151235,0.6867999904968214,0.3560298660011854,0.46806195402483575,0.6250670165343161,0.6430633595200562,0.5029898838800857,0.459447160199977,0.6695005619384546,0.6937075420240525,0.7588177951552316,0.6875508186012513,0.7155207944729197,0.6616917803866985,0.527713575896144,0.5277146503084764,0.5472996220195651,0.501243310196813,0.5663414754657816,0.5672274823264101,0.6004910333036511,0.49127956093774483,0.5960026845400074,0.5862896722480625,0.5121898491421629,0.6023431301707232,0.6230296624257736,0.5784379864688689,0.5512162164150888,0.5739445172091037,0.5270018118087301,0.5367214971964726,0.5268616527011415,0.602322827696839,0.6511351621271283,0.5665150821493692,0.6563476223620276,0.6315332737038574,0.5059984559657935,0.8238295662515498,0.675490067785677,0.7120264984770033,0.527244825931726,0.5692105523124076,0.5348988506436192,0.6403861309201607,0.6352155075812492
0.8414155805906695,0.5502008564328578,0.0,0.3347368855018197,0.5277446552772154,0.28059419870812974,0.800770761582437,0.36598452123142866,0.7265573564983328,0.219125185123871,0.6604582706272851,0.1925117267577877,0.29497490283641675,0.36812782126772553,0.38755161575104946,0.34292997775833856,0.25951179285266784,0.6844948508306847,0.7857864379041171,0.6362882966833057,0.7994561008344543,0.8293404692981541,0.7335823269291857,0.9558083283119078,0.9409855175288304,0.9838463927377483,0.8880668923201261,1.0,1.0,0.967424605888353,0.8998099974011393,0.9060898073516164,1.0,0.9898718137751228,0.9697111417005133,0.934843326387396,0.9945501640663348,0.9910825530425783,0.9903893767792349,0.9991592528459181,0.9967868898034662,1.0,1.0,0.7399310868949166,1.0,0.450457480932737,0.7983463052277721,0.33398419068727153,0.6878629431079408,0.7256174425199499,0.626821939639319,0.339831588761783,0.3225663875528154,0.29746841143783964,0.40161492419460404,0.43629958046940304
0.25821709696515843,0.16896078900990644,0.3347368855018197,0.0,0.192658834166979,0.13565003227267722,0.2377500327463247,0.15881270889247145,0.24630007300833567,0.11734555111197047,0.2198744535411411,0.1118882955097152,0.14605420828390997,0.16832239234588517,0.16891229652927572,0.13923741405449908,0.13034597750809945,0.24263147108689093,0.25192959061398434,0.22067190163443928,0.2626031914838676,0.2587082847044643,0.24937502417378649,0.3103583633849563,0.3072033544999942,0.30348855170671857,0.32224408901797913,0.3345195710234282,0.33654354493124744,0.3136581662218916,0.3427369077493481,0.3089053980964167,0.2967647415094908,0.31298885223680023,0.31599110137534303,0.30023775040923095,0.3073258002805867,0.31190023236885195,0.3147229343150852,0.3163039657727454,0.34360345429573114,0.32003765005542273,0.31159771206142295,0.21457626720890188,0.32708447094957155,0.18942403426438545,0.26557419095479445,0.1598104415142394,0.1989390159877468,0.22617604010497686,0.20851286987623555,0.15660553599770904,0.15052302137573378,0.14658885204836772,0.17388170386865887,0.17782924287893578
0.751731268710552,0.6388772767770661,0.5277446552772154,0.192658834166979,0.0,0.7103717130111634,0.8212309689580659,0.8607410865799655,0.7851117798427915,0.5186549417014179,0.8392527451354642,0.448574655441247,0.646984326497468,0.7440322454135634,0.7358825400305473,0.8243621670749491,0.6218038424094768,0.8701032005941404,0.8347110359642071,0.827990696651405,0.8227540363676368,0.7716843509189937,0.8250954941065531,0.4445578214133885,0.4702689825402684,0.5092582421627775,0.4741027777443363,0.5443325707288083,0.5586486357631661,0.5357951018461914,0.43089654551994083,0.5648752977602641,0.6338462022899776,0.5136759875017629,0.585067329827887,0.575544423520004,0.5708563517030997,0.5830032248108206,0.5612293984389966,0.4766920261591992,0.5237683392881607,0.4935761041975515,0.6010352099147813,0.8176046090228631,0.5388455059780997,0.866987932814152,0.7244509179244949,0.7347926872978413,0.8860255090627281,0.8045833732603368,0.8590702465975242,0.7230111493221252,0.7191810042693356,0.6978092077972134,0.8305919004570045,0.7883944749246257
0.4396046082558227,0.4589597430135437,0.28059419870812974,0.13565003227267722,0.7103717130111634,0.0,0.4830921440325315,0.8730081082818395,0.5250056057741718,0.8461960035014486,0.6062025053051933,0.7604843476539936,0.9126700769754826,0.834631663636163,0.7531959891176593,0.9372786627488657,0.8834810198707677,0.6042982755962478,0.5191028188377602,0.6176316380297473,0.5063605795180622,0.47796830585385675,0.5465682093078327,0.23273352812070594,0.25036323207545186,0.2734888340199494,0.25769979816631217,0.30541946845100576,0.29478949774035035,0.30259034942336815,0.22819574797338846,0.3035798771755076,0.3354176984560503,0.2625885987438879,0.33458442264142907,0.3343995251843623,0.3156283401135254,0.3106012770227376,0.2968310905560324,0.24051220579308982,0.2825253552922508,0.2558385731183676,0.3241918937478384,0.4781636573092594,0.28969423489834845,0.7914886198092319,0.4540940788640304,0.9461074917025595,0.5676035830058034,0.4740886562173694,0.5781865425832972,0.8724861600889086,0.8433445872412763,0.830068753969429,0.8234354464287545,0.7576688686429645
0.9192356753220243,0.7037195695595821,0.800770761582437,0.2377500327463247,0.8212309689580659,0.4830921440325315,0.0,0.5972918443073317,0.9001784959819116,0.35002023548307093,0.8139386332328062,0.3074574978784171,0.45124693323754406,0.5448479238413131,0.5751284955348381,0.5856866456606963,0.41791586759657984,0.859839534421079,0.9125351311966378,0.867323634474141,0.9233884693309371,0.9129767407143461,0.9816051054545476,0.7067859608991947,0.6985084145553253,0.7674201203604212,0.7084498119395609,0.8283150742725766,0.80883727417755,0.7866755482615021,0.6368764347552229,0.8145414104030628,0.8741724176435411,0.7350191505737954,0.7855594826914247,0.8015746688651856,0.8331464436422626,0.8005363880106523,0.8027633237058013,0.7553958686905132,0.7605359341496554,0.7370951409747201,0.8096018220974611,0.9017921843406287,0.7973991586060585,0.729816936906761,0.8981368868580908,0.5322867916690879,0.9174298399575342,0.9290307234037927,0.894846426009231,0.5391855236745043,0.5075950671702892,0.4814634602578087,0.6301530376979405,0.6666158229171275
0.5855393909083838,0.5566264269427389,0.36598452123142866,0.15881270889247145,0.8607410865799655,0.8730081082818395,0.5972918443073317,0.0,0.6127815638172637,0.7484720771614665,0.7646142237861634,0.6645930799627229,0.8450441850826869,0.8493042793809866,0.8148057818057768,0.9050260758828316,0.8573025763028131,0.6853703410186209,0.669696194258457,0.7436995484783278,0.6603019744985162,0.6342784192213055,0.7183748853606436,0.3088727624059279,0.3239830606911702,0.369698248902452,0.34789403199198377,0.4093590043157167,0.394673901131406,0.3943549060435009,0.3020465495720974,0.4114068074520565,0.45048754958803594,0.3438985620733228,0.43264913757182555,0.4285391525769735,0.40876483716898465,0.41045603346623627,0.3751698721795358,0.3180759212319582,0.37283809347171787,0.33806553045377763,0.41446818245169836,0.6351323381468478,0.3792848870513885,0.9701904117785621,0.5758977767617827,0.9067180222856789,0.7274363594081524,0.6125831269699,0.7550905382905301,0.8288083656755362,0.8856117189786155,0.8571249581218323,0.8905421680031024,0.8450117117050616
0.8322221374536313,0.7369830105184295,0.7265573564983328,0.24630007300833567,0.7851117798427915,0.5250056057741718,0.9001784959819116,0.6127815638172637,0.0,0.3812314137984734,0.8463722023670296,0.3389800285844173,0.5053930632332072,0.5970429399370716,0.6231257197875755,0.5849094995514676,0.44863842512796115,0.9215946431660987,0.9597812665356134,0.8469077033272538,0.9219027160468922,0.8766859802165576,0.9179249289781004,0.6522215003538575,0.6402996530433476,0.7186557802527427,0.6824554204982669,0.7551679834270157,0.7363923833834036,0.7699361206179888,0.6237052521094952,0.7917823788981573,0.8523858533320313,0.7247362074050203,0.7650510670688008,0.7918963497640589,0.7461788751508353,0.773343047957596,0.7299121206157132,0.685486783245437,0.7518078401765091,0.7189777347386398,0.7996761671290396,0.8818363710650157,0.7442872997506277,0.7312095457229811,0.8778546198509029,0.591690792703157,0.9248724075651121,0.8863423323970547,0.8843748654632572,0.5655723432167241,0.5349911386458647,0.5240903207607508,0.7039291220681092,0.6555847285428441
0.3435234836098476,0.3800012847151235,0.219125185123871,0.11734555111197047,0.5186549417014179,0.8461960035014486,0.35002023548307093,0.7484720771614665,0.3812314137984734,0.0,0.47382432744400815,0.8708187087133059,0.8720540112892898,0.7329824069349374,0.6437044350567871,0.725987755646867,0.8422806725211103,0.44196759075199116,0.38463633546928316,0.4890183461142489,0.3931007556288476,0.37936569074422777,0.4069212293592984,0.17688599960409473,0.19287100986417877,0.2073172245257197,0.19550746210449416,0.23795700057421332,0.2287596697524849,0.23247648678457516,0.17364184901716587,0.23187850987781086,0.2447488911462933,0.2004296735709043,0.262477932777656,0.25883344421656823,0.23370326525418167,0.23065191791085277,0.22079532567192914,0.18404476003516979,0.21574689917653372,0.194950055684215,0.24151005536305967,0.3546348343276208,0.21831072690102096,0.6662131490394019,0.32564186732332273,0.8333207389614588,0.44218569194908636,0.3497529431361044,0.45110170390010335,0.741215078308101,0.7673979965519022,0.8044956084629169,0.6220854113473744,0.5730021773681429
0.9188184364352148,0.6867999904968214,0.6604582706272851,0.2198744535411411,0.8392527451354642,0.6062025053051933,0.8139386332328062,0.7646142237861634,0.8463722023670296,0.47382432744400815,0.0,0.4202818645167206,0.6688323043842404,0.7533616809082698,0.7551954228092251,0.6998779523186208,0.6077371050475238,0.9648607757777298,0.8684925746434706,0.9566444094379896,0.8814760723881162,0.8988931366071407,0.928422679591467,0.5725367519567222,0.5572361009546603,0.5946316505324678,0.5980108206487352,0.6539193283778789,0.6722461528906789,0.6499252197382297,0.5147532515034612,0.657272614055659,0.7320796446322932,0.6086806036199336,0.7245016087428243,0.7015375228314764,0.6763007146227883,0.6992559325488271,0.6374307583624464,0.5747473430485673,0.6458049489406908,0.6029996599962049,0.6734962931273882,0.8686875178219586,0.65323000879276,0.9087994673094423,0.8149386528856353,0.7283930537934817,0.9174625460532987,0.8712616771266924,0.9234359559145789,0.6867320591148097,0.6889597037520284,0.6486567029381209,0.7940899440797531,0.7486661688703944
0.3180307419616961,0.3560298660011854,0.1925117267577877,0.1118882955097152,0.448574655441247,0.7604843476539936,0.3074574978784171,0.6645930799627229,0.3389800285844173,0.8708187087133059,0.4202818645167206,0.0,0.8164039688663044,0.66674503393303,0.618037181502842,0.6085054551246925,0.9070998838978968,0.3844819090815381,0.3419866135551483,0.425467388056631,0.3466542328594617,0.3350741798910206,0.36051006236175726,0.16053120636847595,0.17646826914538608,0.19165622657961467,0.1750451672557627,0.21097341956054935,0.21136993700784903,0.21191682113366042,0.1582444074029145,0.21102145154958288,0.2189105566318881,0.18156389674937135,0.2346001357998568,0.23308573335378033,0.21073257889090874,0.206212885777711,0.19618201868432142,0.1653500446099339,0.19570531094546312,0.17412148549163783,0.21547100051526377,0.3022031353982843,0.1977119388042791,0.5953606520086925,0.2984882081298944,0.7473172496259226,0.3730195637352756,0.3032066510940983,0.3861793980581893,0.635947766033372,0.7644039065846153,0.7773110563984013,0.614731003883192,0.5638233557666725
0.47765829807242316,0.46806195402483575,0.29497490283641675,0.14605420828390997,0.646984326497468,0.9126700769754826,0.45124693323754406,0.8450441850826869,0.5053930632332072,0.8720540112892898,0.6688323043842404,0.8164039688663044,0.0,0.9217987483356185,0.8613625449537398,0.7993197917302914,0.9813273562188707,0.60020049040079,0.517418370066117,0.6115442570659726,0.5095321824018085,0.5016909081865539,0.5390841568959047,0.2400567504419216,0.2573664715326306,0.2831170492349375,0.26909952173299184,0.3239239321958886,0.31481740867064406,0.31468896536667396,0.23141305699113876,0.31708459383072285,0.3353915628255705,0.26749302024218385,0.34936049101904776,0.34819662313802846,0.30982331162693394,0.3165655888973459,0.2883508238408946,0.24796855823357095,0.2895886592841767,0.26195174606286764,0.3219372914403164,0.4665208383463178,0.2890777038544734,0.8363764493754878,0.42786323609596855,0.99643539209456,0.575250486521691,0.4975819782592064,0.6186007368815369,0.8614326824368249,0.8940790236065127,0.9694976324498528,0.7973589725973342,0.7444959635662179
