Cingulate area 2,Glomerular layer of the accessory olfactory bulb,Glomerular layer of the olfactory bulb,"Olfactory bulb, unspecified",Frontal association cortex,Cornu ammonis 3,Dentate gyrus,Cornu ammonis 2,Cornu ammonis 1,Fasciola cinereum,Subiculum,Postrhinal cortex,Presubiculum,Parasubiculum,Perirhinal area 35,Perirhinal area 36,Medial entorhinal cortex,Lateral entorhinal cortex,Primary auditory area,"Secondary auditory area, dorsal part","Secondary auditory area, ventral part","Piriform cortex, layer 1","Piriform cortex, layer 2","Piriform cortex, layer 3",Ventrolateral orbital area,Lateral orbital area,Ventral orbital area,Medial orbital area,Dorsolateral orbital area,Prelimbic area,Secondary motor area,Frontal association area 3,Primary motor area,"Agranular insular cortex, ventral area",Agranular insular cortex dorsal area,Cingulate area 1,Infralimbic area,Dysgranular insular cortex,Granular insular cortex,"Primary somatosensory area, forelimb representation","Primary somatosensory area, dysgranular zone","Primary somatosensory area, face representation",Secondary somatosensory area,"Primary somatosensory area, hindlimb representation","Agranular insular cortex, posterior area","Primary somatosensory area, barrel field",Retrosplenial dysgranular area,"Primary somatosensory area, trunk representation",Retrosplenial granular area,"Parietal association cortex, lateral area","Parietal association cortex, medial area","Parietal association cortex, posterior area",Primary visual area,"Secondary visual area, lateral part",Temporal association cortex,"Secondary visual area, medial part",Nucleus of the lateral olfactory tract
0,0.302995487,0.270454351,0.381530616,0.304633847,0.926659893,0.754534152,0.871376921,0.814072571,0.774301419,0.598733086,0.51852957,0.616151479,0.549217405,0.920201692,0.840399618,0.526881736,0.617908945,0.87963123,0.841861452,0.851355822,0.878402369,0.925101619,0.899750545,0.388530279,0.650033243,0.348577759,0.336660441,0.592883863,0.615368735,0.643281236,0.639696841,0.815270193,0.795433173,0.679720616,0.821844182,0.629738597,0.802084553,0.749995528,0.978676108,0.952515774,1,0.666259368,0.773447889,0.751159627,0.689467077,0.866836365,0.712272859,0.889340172,0.739478883,0.872356325,0.73416372,0.851980488,0.794541707,0.725968493,0.889943848,0.914735726
0.302995487,0,0.335452631,0.560615506,0.702021505,0.429900045,0.488349569,0.323756611,0.497153071,0.385875565,0.581453983,0.481369485,0.480464225,0.446671436,0.303763706,0.26474969,0.495100912,0.448959839,0.325093275,0.398686833,0.371963361,0.432512208,0.382900809,0.341634633,0.464609767,0.62399319,0.553734244,0.568606678,0.664650097,0.421245661,0.410064569,0.52349342,0.386919942,0.431002843,0.510402597,0.275990791,0.488041629,0.442725435,0.430473152,0.328477535,0.312689042,0.36903825,0.384796162,0.243238693,0.386113874,0.331434586,0.340934721,0.342930392,0.352185252,0.250608873,0.257750993,0.425937563,0.477347589,0.487387009,0.426331409,0.278664596,0.404690121
0.270454351,0.335452631,0,0.719432612,0.374783515,0.302641726,0.439119447,0.234661962,0.37644536,0.42422908,0.526292356,0.586000474,0.539539895,0.546315946,0.326884254,0.287699866,0.531777248,0.531710621,0.276801028,0.30488291,0.271090934,0.329876018,0.31647865,0.312305201,0.369297864,0.386942327,0.330923686,0.407509916,0.373291823,0.378713684,0.388033729,0.32673481,0.327880073,0.37890866,0.455882394,0.228612749,0.395333729,0.415741457,0.396367438,0.25959533,0.276889585,0.265484895,0.482975711,0.21021244,0.362936838,0.432322957,0.383452056,0.414456817,0.353037295,0.308411301,0.308898737,0.379541597,0.416218296,0.390228573,0.458477023,0.325753295,0.284411566
0.381530616,0.560615506,0.719432612,0,0.662708452,0.454785305,0.67770499,0.335615287,0.559795861,0.614916304,0.797532908,0.791686379,0.751909128,0.759472633,0.436767217,0.367116469,0.752651119,0.72927193,0.379052045,0.455127778,0.386503243,0.52162233,0.469499376,0.441047557,0.586662818,0.652985329,0.567234879,0.697980099,0.626565058,0.566434738,0.581499755,0.539553408,0.495763631,0.547409923,0.68350685,0.318549744,0.628892609,0.62326833,0.582518382,0.374446708,0.392554232,0.393157545,0.629722227,0.288563284,0.54526213,0.544562375,0.504988177,0.54104221,0.482381086,0.362432091,0.407272063,0.531667029,0.599234209,0.542900295,0.629023637,0.425482272,0.405351025
0.304633847,0.702021505,0.374783515,0.662708452,0,0.381868769,0.463362358,0.283409681,0.449016605,0.403368588,0.67349377,0.589920663,0.530779846,0.478247062,0.320833624,0.259349629,0.567821278,0.532693022,0.318469675,0.396608008,0.312865144,0.432721348,0.38108847,0.356129073,0.748848432,0.679581796,0.930672125,0.908028349,0.620535387,0.552552357,0.498517734,0.594601074,0.420152302,0.438262877,0.562495443,0.268947822,0.585744834,0.441100918,0.432525221,0.330461881,0.295115832,0.34058662,0.432271266,0.238693081,0.380766066,0.352733143,0.362423524,0.352489647,0.33730933,0.246020127,0.271009192,0.393232901,0.437943768,0.473564404,0.41889703,0.287921571,0.324731361
0.926659893,0.429900045,0.302641726,0.454785305,0.381868769,0,0.879916009,0.918902434,1,0.840951546,0.713854096,0.604332883,0.753915095,0.623469243,0.869689145,0.838703811,0.650373795,0.76260091,0.912309157,0.999359925,0.933393046,0.936549331,0.948373933,0.953781503,0.445836395,0.80161138,0.39672055,0.376374472,0.783430988,0.673050205,0.658374247,0.741723096,0.857212192,0.828809622,0.746606786,0.770794658,0.729114948,0.89539422,0.856628114,0.913168652,0.889643319,0.989504842,0.768663845,0.732621535,0.781388939,0.733757525,0.920387384,0.792618488,0.884410606,0.681530328,0.731372861,0.884994905,0.89502274,0.913557585,0.883501867,0.837401503,0.96833136
0.754534152,0.488349569,0.439119447,0.67770499,0.463362358,0.879916009,0,0.692825761,0.993656604,0.938517533,0.957076215,0.859998475,0.892162585,0.805189107,0.806049378,0.717669718,0.864803221,0.943419484,0.719173113,0.832618792,0.749385561,0.84579103,0.84126004,0.79573413,0.536798761,0.848304643,0.464215559,0.50602505,0.815715121,0.731929696,0.755292013,0.819229285,0.833510071,0.941949815,0.990295288,0.585098581,0.821495882,0.963809726,1,0.772636776,0.77675304,0.780796866,0.940543144,0.576686492,0.844391437,0.842469266,0.93335904,0.866205945,0.836240356,0.654263179,0.753829504,0.9073514,1,0.934971297,0.97164844,0.764426533,0.794320987
0.871376921,0.323756611,0.234661962,0.335615287,0.283409681,0.918902434,0.692825761,0,0.764977077,0.698233871,0.525593926,0.480687242,0.559835283,0.503141116,0.842299665,0.836378148,0.505820033,0.555613182,0.909695279,0.92272295,0.860783226,0.864189136,0.888205095,0.820432429,0.33732988,0.573132722,0.313532938,0.288434209,0.599071089,0.522480299,0.536835032,0.615335986,0.807097908,0.708857996,0.581090211,0.808395607,0.57070049,0.704386909,0.728661447,0.966293115,0.866764097,0.979148984,0.606987122,0.79172768,0.658053135,0.624959382,0.775996956,0.649365703,0.791348801,0.71526844,0.729359757,0.704584831,0.812384127,0.748124707,0.675257584,0.792809951,1
0.814072571,0.497153071,0.37644536,0.559795861,0.449016605,1,0.993656604,0.764977077,0,0.963888628,0.840588056,0.728932756,0.859160943,0.792130467,0.87089568,0.795616518,0.788484834,0.829603923,0.820202055,0.921713258,0.890151508,0.980913269,0.956970965,0.833197402,0.510060007,0.886467889,0.451367277,0.454062278,0.811973114,0.722376147,0.729105018,0.852072192,0.91804968,0.980940413,0.903111542,0.6428846,0.817429635,0.952602396,0.91783335,0.822951215,0.812727476,0.872848576,0.838123103,0.608666132,0.818139961,0.817124627,0.962873879,0.8279837,0.917290719,0.754660138,0.802548507,0.896726136,0.997104923,0.978429209,0.925600127,0.809394108,0.960258335
0.774301419,0.385875565,0.42422908,0.614916304,0.403368588,0.840951546,0.938517533,0.698233871,0.963888628,0,0.86593992,0.858003138,0.89052511,0.851075395,0.853374908,0.694789537,0.758225436,0.850999466,0.775926213,0.869797657,0.71876915,0.9779119,0.932413978,0.857520943,0.49377459,0.771369606,0.416823139,0.458959371,0.730700032,0.732806339,0.780276196,0.716912261,0.929747977,0.950555716,0.9173632,0.683736992,0.728876092,0.993831805,0.893008106,0.785133191,0.828307736,0.871785347,0.95657837,0.604906072,0.954949384,0.935508486,0.978492104,0.994075548,0.959891152,0.710261375,0.925913515,0.86628062,0.978541886,0.864984015,0.947736864,0.841610548,0.756880165
