Cingulate area 2,Frontal association cortex,Cornu ammonis 3,Dentate gyrus,Cornu ammonis 2,Cornu ammonis 1,Fasciola cinereum,Subiculum,Postrhinal cortex,Presubiculum,Parasubiculum,Perirhinal area 35,Perirhinal area 36,Medial entorhinal cortex,Lateral entorhinal cortex,Primary auditory area,"Secondary auditory area, dorsal part","Secondary auditory area, ventral part","Piriform cortex, layer 1","Piriform cortex, layer 2","Piriform cortex, layer 3",Ventrolateral orbital area,Lateral orbital area,Ventral orbital area,Medial orbital area,Dorsolateral orbital area,Prelimbic area,Secondary motor area,Frontal association area 3,Primary motor area,"Agranular insular cortex, ventral area",Agranular insular cortex dorsal area,Cingulate area 1,Infralimbic area,Dysgranular insular cortex,Granular insular cortex,"Primary somatosensory area, forelimb representation","Primary somatosensory area, dysgranular zone","Primary somatosensory area, face representation",Secondary somatosensory area,"Primary somatosensory area, hindlimb representation","Agranular insular cortex, posterior area","Primary somatosensory area, barrel field",Retrosplenial dysgranular area,"Primary somatosensory area, trunk representation",Retrosplenial granular area,"Parietal association cortex, lateral area","Parietal association cortex, medial area","Parietal association cortex, posterior area",Primary visual area,"Secondary visual area, lateral part",Temporal association cortex,"Secondary visual area, medial part"
0.0,0.9042948598808468,0.9568165467622357,0.9716951547151719,0.9304831246960014,0.9974929177561594,0.8979507634237408,0.8808843729780671,0.8296002289258197,0.7972385440580365,0.693051916524241,1.0,0.9290941217738488,0.769065060509373,0.9160717104989675,0.9205491470243178,0.9475876640331933,0.9161315267419059,0.9386476894494992,1.0,0.9843422721374557,0.9618658202960467,0.8947360723395817,0.9475458170799511,0.6574137482900858,0.8581361402371585,0.9242005157464389,0.9956450565134674,0.9831006496480299,0.901458362466372,0.9297555116206894,0.8736983636175184,0.9009694155744439,0.8851237369692612,0.9337707407296335,0.995960752226777,0.7990109534709364,0.8679012142992629,0.932549721807999,0.9054495908012645,0.8902812760462312,0.8932271786451658,0.8913744416171872,0.8606332700117135,0.9747866327441527,0.9560952031449182,0.8230185926760725,0.7126744671850764,0.8300793538108996,0.81747784348548,0.8717366013012419,0.8590110878896564,0.9090094736660236
0.9042948598808468,0.0,0.9666315743897829,0.8413288411073944,0.9598045650773834,0.8597893340636237,0.7273120740789735,0.7626207123719394,0.68991103587065,0.7058912483731441,0.6433487078943892,0.8407782776344312,0.8320343945673306,0.6856493644470392,0.8101706611168262,0.8426400952119617,0.8951113736171601,0.8112237639959864,0.854285872858768,0.8568370276339695,0.8701383446724449,0.8328914989153117,0.9080535526116528,0.9298576131750957,0.7612981062214201,0.9684610761394111,0.7986393863060831,0.9798481921550583,0.8444609059812848,0.7044397736671199,0.9298393679574563,0.7536592524037846,0.6997582146849988,0.6877461056999556,0.7683506177189757,0.8400166952382176,0.6241275975745642,0.6469942319600546,0.7183749338355814,0.7301098568621046,0.7786960454339811,0.7493833979768676,0.6508680557434438,0.8432899638815434,0.8765308231476067,0.85183674173499,0.65440133187255,0.5612579407749054,0.7913003622508441,0.7658014496610067,0.8255184051545511,0.7380413034992399,0.8124418772715685
0.9568165467622357,0.9666315743897829,0.0,0.8915692991310022,0.9269594421649746,0.9655809985559096,0.8339615112424281,0.8183671236871244,0.8092966308655735,0.7357461194370031,0.6716409789746025,0.8765523677400139,0.9703721758617391,0.7168857925934322,0.9504124770006708,0.9418670822790778,0.9404846207352996,0.9311479577166943,0.9160017916404124,0.9393940900045821,0.966383171766612,0.8468360361121219,0.9049927910624991,0.9093713694622402,0.6217439464574177,0.7880817897392614,0.86381646942136,0.9242474742860742,0.9492909287515173,0.8160186152743408,0.9246405607451603,0.8527907279555608,0.7988208302432755,0.7729537521480427,0.8951816964540142,0.8847714314309354,0.7560591049387585,0.7897578753898313,0.8353839830353512,0.8375960024679622,0.870827963775213,0.8436396764182371,0.8552507759097451,0.8183195963985566,0.9509772801174249,0.9413734269681908,0.8544886541232409,0.7666548431155386,0.8338476546633573,0.7900714823789752,0.8343279682707554,0.8350289834493744,0.9041008813277579
0.9716951547151719,0.8413288411073944,0.8915692991310022,0.0,0.8924376215985301,1.0,1.0,0.893268580597935,0.9181691443661864,0.9183479540071265,0.7900583603890178,1.0,0.9349025788014897,0.896019608515273,1.0,0.9500008194356198,0.9584071985630706,0.9555796605866951,0.8610108158794089,0.8850178539242417,0.8484995350672554,0.8391900621374463,0.8190716990785684,0.8182152045089184,0.6281561314262859,0.8586069183798979,0.8968331526478909,1.0,0.9551994728157551,0.8117230649266076,0.8675222217047172,0.80342717317605,0.8683322972335841,0.7157330598204545,0.934109371041567,0.9354362693060573,0.7257740158464431,0.7520728073439042,0.9144097902137714,0.9480719379559975,0.8610900640816351,0.8990300283077775,0.886867082272919,0.9616715780322955,1.0,0.9762831005202245,0.752836266447044,0.7086485359402491,0.8109653567839777,0.9371644795256863,0.9162895111659377,0.9874172403988575,0.9809545555616489
0.9304831246960014,0.9598045650773834,0.9269594421649746,0.8924376215985301,0.0,0.936803564952703,0.8826604083544608,0.9314967220580851,0.8630314177033767,0.788454995522038,0.7697853640590825,0.9575354461121496,0.9201324750772921,0.8317982811428888,0.9410831477483067,0.9678685740678433,0.9825456840626001,0.9082255366435067,0.8604381069318298,0.9865676038714756,0.9572299574776619,0.8549512098802609,0.8839864061178742,0.8868082252963271,0.6656712707658266,0.8850122934568836,0.8912532706613661,0.96555740244755,0.8843254234437548,0.7912673194438345,0.954458896449882,0.8235408773001015,0.7474288494327034,0.7373939272867865,0.9120291240976073,0.8766710541426211,0.6854715679914168,0.7455698608947292,0.8314057275933219,0.8336008042452778,0.8849334271038631,0.8262847654759345,0.8290189287645837,0.9222206417496064,0.9542509146170154,0.9920714972798337,0.7811839073664473,0.6953867916100915,0.8793035088932343,0.8627913864993563,0.8692155879826231,0.8981224079080059,0.9149942478785155
0.9974929177561594,0.8597893340636237,0.9655809985559096,1.0,0.936803564952703,0.0,0.9392710836974933,0.945186417335395,0.8889107842217175,0.8714079066409147,0.8490960625891367,1.0,0.9787375661287128,0.7971786633236759,0.9461149605682001,0.9478055194752693,0.9909827372608355,0.9832272153723126,0.8700944803630182,0.9471609182057615,0.9002774562612559,0.8751465593647838,0.90821205221379,0.8508146305519789,0.6588592020079219,0.8131694518594919,0.9190932420247919,0.9749419788881354,0.953591908346284,0.8297319044656799,0.9019575330290435,0.8142946593805949,0.8332338835480562,0.752821190785581,0.957496454895954,1.0,0.7662195399655108,0.8302923656794248,0.9313900866790289,0.9330518570043923,0.9017195471007216,0.9299204576927431,0.8435134858609822,0.9449784385804724,0.989946475926831,1.0,0.7725068099117504,0.789346075880918,0.8676296917871418,0.9004204066704682,0.9421587273896157,0.964110613080469,0.9814054378521907
0.8979507634237408,0.7273120740789735,0.8339615112424281,1.0,0.8826604083544608,0.9392710836974933,0.0,0.9596637427191328,0.8999552103265873,0.9558822152219386,0.8895321076490139,1.0,0.9564972737257565,0.8512726311204081,0.9836681652690755,0.9520330386640052,0.9799475448118112,0.9156236121889553,0.8936767759227918,0.8604633020930691,0.8894575938036102,0.764975682604531,0.7751822364891805,0.7654280546255667,0.5475258771414135,0.7923031949196003,0.8496560231615049,0.8846044069235375,0.8913990610820864,0.7663170519898687,0.835371606512703,0.8260433502966927,0.7834515540758783,0.770998398877451,0.9266884123508049,0.9293480276165804,0.7319447042118687,0.786890020529644,0.8738896778443691,0.9430486116165697,0.8116312881166171,0.8842922238415877,0.837460284437228,0.9019715612406105,0.9815155107925282,0.9642705669191747,0.8049877808298169,0.7421245628781848,0.8124543960816267,0.8994824254308285,0.9256463093790667,1.0,0.9392435352504275
0.8808843729780671,0.7626207123719394,0.8183671236871244,0.893268580597935,0.9314967220580851,0.945186417335395,0.9596637427191328,0.0,0.9669591095944535,0.9211308215026182,0.8414038199434758,0.9738043595744952,0.9056010849919103,0.9437499366320962,0.9786252849430922,0.9008886137266923,0.9091888421819514,0.9353674008913122,0.793907649934961,0.81061331002996,0.8500807379522636,0.7349078896808945,0.735823511544144,0.7684621412502394,0.6157697500312243,0.7463448833285647,0.7823711101109225,0.8149877912777893,0.8205074681073982,0.7368705795352313,0.7800088009757977,0.7164667486424399,0.711805473337244,0.6854857953754732,0.8422570493697354,0.8924899498580567,0.669406667926869,0.7274509806042989,0.8593476399602419,0.8280801972815569,0.8272408673759611,0.845212851553517,0.8053753003724488,0.9342869504498045,0.9123774542925367,0.9588108340034059,0.7487308101699629,0.6850030840120719,0.6809972160967601,0.8873968585752428,0.9755115370009274,0.9872251756684292,0.9826712989062081
0.8296002289258197,0.68991103587065,0.8092966308655735,0.9181691443661864,0.8630314177033767,0.8889107842217175,0.8999552103265873,0.9669591095944535,0.0,0.9988516030638132,0.8879418268288792,1.0,0.9215363361527412,0.9989502636424616,0.9894441221428297,0.8973052166607248,0.8463007626850779,0.8749391956673599,0.768575443965711,0.7538750021723437,0.7702038465928034,0.6623379282476165,0.6715461060671345,0.6508839384847562,0.6053069201844938,0.8548660118839388,0.704179964155256,0.7881898386994072,0.8219619277426229,0.6841173011942839,0.7641113816627129,0.6483365429567092,0.6552773636681689,0.6121751316446954,0.8992855750029244,0.9096623529035138,0.6452348441504495,0.6402566922371218,0.7723691255140722,0.8589511185625004,0.7911672312136626,0.8749092143466988,0.7616127174740526,0.8827261499845014,0.8257928064932997,0.8529848588304988,0.6851252097423627,0.6741448400734403,0.6421743336969437,0.982134295689187,0.9604587098186078,0.9593366338926662,0.9881623263590406
0.7972385440580365,0.7058912483731441,0.7357461194370031,0.9183479540071265,0.788454995522038,0.8714079066409147,0.9558822152219386,0.9211308215026182,0.9988516030638132,0.0,0.9362037054281208,0.9799587428402896,0.7897732210169555,0.9115625368938336,0.8421741237136237,0.8516915392774687,0.820842704447616,0.8188525494383556,0.6997060938067494,0.7570626612770434,0.7115130559224246,0.6080035874247066,0.6694339609520413,0.6936074728872111,0.7157649481345221,0.7924346773768549,0.6725859914889166,0.753866087313897,0.770126585328666,0.6299213870689482,0.6993382101367822,0.5880216488644568,0.6043264194353355,0.5812264920406599,0.7837992195740394,0.8030801175745621,0.557210626575886,0.619339777724928,0.7360922843855728,0.7723768416278834,0.7187581731543546,0.7653463796499501,0.6821960196004988,0.9603700916699583,0.8561561463283573,0.8338355240964788,0.6032471680317764,0.5792841509973407,0.6536021315150216,0.9230878767236546,0.9724582813317268,0.9307811645211995,0.9118705655104934
